Rank,name,Ovr. Rank,Avg. Rank,ESPN Rank,NBADraft Rank,Athletic Rank,CBS Rank,Tankathon Rank,Ringer Rank,SI Rank,BR Rank,Age (by 10/16),Position,Height w/ shoes,Wingspan,Reach,Hand width,Weight (lbs),Max Vertical,Lane (sec),Shuttle (sec),3/4 Sprint (sec),School,GP,MP,PTS,REB,AST,STL,BLK,TOV,PF,FGA,FG%,2PA,2P%,NCAA__3ptapg,NCAA__3ptpct,FTA,NCAA_ft,TS%,PTS/36,REB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info
-1,"Ball, LaMelo",1,2.00,1,6,1,1,1,3,2,1,19,PG,"6'8""",,,,180,,,,,United States,12,31.3,17.0,7.6,6.8,1.6,0.1,2.6,2.6,16.7,0.375,10.0,0.458,6.7,0.250,3.9,0.723,0.462,19.6,8.7,7.8,1.8,0.1,3.0,3.0,19.2,11.5,7.7,4.5,https://www.basketball-reference.com/international/players/lamelo-ball-1.html
0,"Edwards, Anthony",2,3.00,2,1,3,3,8,2,1,4,19,SG,"6'5""","6'10""",,,225,,,,,Georgia,32,33.0,19.1,5.2,2.8,1.3,0.6,2.7,2.2,15.8,0.402,8.1,0.504,7.7,0.294,5.3,0.772,0.527,20.8,5.7,3.1,1.4,0.7,2.9,2.4,17.2,8.8,8.4,5.8,https://www.sports-reference.com/cbb/players/anthony-edwards-2.html
1,"Wiseman, James",3,3.88,3,7,2,2,3,5,3,6,19,C,"7'1""","7'6""",,,235,,,,,Memphis,3,23.0,19.7,10.7,0.3,0.3,3.0,1.0,1.7,8.7,0.769,8.3,0.800,0.3,0.000,9.0,0.704,0.778,30.8,16.7,0.5,0.5,4.7,1.6,2.7,13.6,13.0,0.5,14.1,https://www.sports-reference.com/cbb/players/james-wiseman-1.html
2,"Okongwu, Onyeka",4,5.13,5,3,4,8,2,10,6,3,19,C,"6'9""","7'1""",,,235,,,,,Southern California,26,30.6,16.2,8.6,1.1,1.2,2.7,2.0,2.7,10.1,0.616,10.0,0.621,0.1,0.250,5.1,0.720,0.656,19.1,10.1,1.3,1.4,3.2,2.4,3.2,11.9,11.8,0.1,6.0,https://www.sports-reference.com/cbb/players/onyeka-okongwu-1.html
3,"Hayes, Killian",5,5.63,10,9,10,4,4,1,5,2,19,PG,"6'5""","6'9""",,,192,,,,,France,10,26.8,12.8,2.3,6.2,1.5,0.2,3.3,3.2,10.1,0.455,6.0,0.500,4.1,0.390,2.2,0.909,0.578,17.2,3.1,8.3,2.0,0.3,4.4,4.3,13.6,8.1,5.5,3.0,https://www.basketball-reference.com/international/players/killian-hayes-1.html
4,"Toppin, Obi",6,6.38,6,2,8,5,6,12,7,5,22,PF,"6'9""","7'2""",,,220,,,,,Dayton,31,31.6,20.0,7.5,1.8,0.6,0.8,2.2,1.6,12.5,0.633,9.8,0.698,2.6,0.390,4.5,0.713,0.691,22.8,8.5,2.1,0.7,0.9,2.5,1.8,14.2,11.2,3.0,5.1,https://www.sports-reference.com/cbb/players/obadiah-toppin-1.html
5,"Avdija, Deni",7,6.50,4,8,6,7,7,4,8,8,19,SF,"6'9""","6'10""",,,215,,,,,Israel,28,27.1,13.5,6.1,2.6,0.8,0.9,1.9,2.0,9.3,0.550,5.3,0.671,4.0,0.387,3.1,0.581,0.633,17.9,8.1,3.5,1.1,1.2,2.5,2.7,12.4,7.0,5.3,4.1,https://basket.co.il/player.asp?PlayerId=11166&lang=en#player-stats-1
6,"Haliburton, Tyrese",8,7.75,8,10,7,6,5,9,4,13,20,PG,"6'5""","6'8""",,,175,,,,,Iowa State,22,34.6,15.2,5.9,6.5,2.5,0.7,2.8,1.3,11.1,0.504,5.5,0.592,5.6,0.419,2.0,0.822,0.634,15.8,6.1,6.8,2.6,0.7,2.9,1.4,11.5,5.7,5.8,2.1,https://www.sports-reference.com/cbb/players/tyrese-haliburton-1.html
7,"Okoro, Isaac",9,8.63,7,5,5,9,13,11,10,9,19,SF,"6'6""","6'8.5""",,,225,,,,,Auburn,28,31.5,12.9,4.4,2.0,0.9,0.9,2.0,2.7,8.7,0.514,6.2,0.607,2.5,0.286,4.8,0.672,0.597,14.7,5.0,2.3,1.0,1.0,2.3,3.1,9.9,7.1,2.9,5.5,https://www.sports-reference.com/cbb/players/isaac-okoro-1.html
8,"Vassell, Devin",10,9.88,11,11,11,12,10,6,11,7,20,SG,"6'5""","6'10""",,,180,,,,,Florida State,30,28.8,12.7,5.1,1.6,1.4,1.0,0.8,1.9,9.8,0.490,6.3,0.532,3.5,0.415,2.2,0.738,0.590,15.9,6.4,2.0,1.8,1.3,1.0,2.4,12.3,7.9,4.4,2.8,https://www.sports-reference.com/cbb/players/devin-vassell-1.html
9,"Williams, Patrick",11,11.00,9,4,9,13,26,7,9,11,19,SF,"6'8""","6'11""",,,225,,,,,Florida State,29,22.5,9.2,4.0,1.0,1.0,1.0,1.7,1.6,7.1,0.459,5.4,0.503,1.7,0.320,2.6,0.838,0.558,14.7,6.4,1.6,1.6,1.6,2.7,2.6,11.4,8.6,2.7,4.2,https://www.sports-reference.com/cbb/players/patrick-williams-2.html
10,"Lewis Jr, Kira",12,15.63,20,16,12,14,17,18,13,15,19,PG,"6'3""","6'5""",,,180,,,,,Alabama,31,37.6,18.5,4.6,5.2,1.8,0.6,3.5,2.6,14.5,0.459,9.5,0.507,4.9,0.366,4.2,0.802,0.566,17.7,4.4,5.0,1.7,0.6,3.4,2.5,13.9,9.1,4.7,4.0,https://www.sports-reference.com/cbb/players/kira-lewisjr-1.html
11,"Maxey, Tyrese",13,15.75,15,23,14,15,22,15,12,10,19,SG,"6'3""","6'6""",,,198,,,,,Kentucky,31,34.5,14.0,4.3,3.2,0.9,0.4,2.2,2.4,11.3,0.427,7.7,0.492,3.6,0.292,3.9,0.833,0.538,14.6,4.5,3.3,0.9,0.4,2.3,2.5,11.8,8.0,3.8,4.1,https://www.sports-reference.com/cbb/players/tyrese-maxey-1.html
12,"Bey, Saddiq",14,16.88,17,19,16,10,16,16,16,25,21,PF,"6'8""","6'11""",,,215,,,,,Villanova,31,33.9,16.1,4.7,2.4,0.8,0.4,1.1,2.3,11.8,0.477,6.2,0.500,5.6,0.451,2.9,0.769,0.616,17.1,5.0,2.5,0.8,0.4,1.2,2.4,12.5,6.6,5.9,3.1,https://www.sports-reference.com/cbb/players/saddiq-bey-1.html
13,"Hampton, RJ",15,17.00,14,25,13,18,11,21,18,16,19,PG,"6'5""","6'7""",,,188,,,,,United States,15,20.6,8.8,3.9,2.4,1.1,0.3,1.5,1.9,8.2,0.407,5.3,0.468,2.9,0.295,1.9,0.679,0.487,15.4,6.8,4.2,1.9,0.5,2.6,3.3,14.3,9.3,5.1,3.3,https://www.basketball-reference.com/international/players/rj-hampton-1.html
14,"Pokusevski, Aleksej",16,17.25,18,32,15,19,9,13,20,12,18,PF,"7'0""","7'3""",,,195,,,,,Serbia,11,23.1,10.8,7.9,3.1,1.3,1.8,1.8,1.5,9.5,0.404,4.6,0.447,4.8,0.321,2.1,0.783,0.518,16.8,12.3,4.8,2.0,2.8,2.8,2.3,14.8,7.2,7.5,3.3,https://basketball.realgm.com/player/Aleksej-Pokusevski/Summary/130811
15,"Nesmith, Aaron",17,18.50,13,22,17,11,18,23,14,30,21,SF,"6'6""","6'10""",,,215,,,,,Vanderbilt,14,35.7,23.0,4.9,0.9,1.4,0.9,1.6,3.0,14.6,0.512,6.4,0.500,8.2,0.522,4.5,0.825,0.694,23.2,4.9,0.9,1.4,0.9,1.6,3.0,14.7,6.5,8.3,4.5,https://www.sports-reference.com/cbb/players/aaron-nesmith-1.html
16,"Achiuwa, Precious",18,19.38,12,15,25,17,33,14,17,22,21,PF,"6'9""","7'1""","9'0.5""","10.0""",234,,,,,Memphis,31,30.4,15.8,10.8,1.0,1.1,1.9,2.8,2.4,11.9,0.493,10.6,0.514,1.3,0.325,6.0,0.599,0.543,18.7,12.8,1.2,1.3,2.3,3.3,2.8,14.1,12.6,1.5,7.1,https://www.sports-reference.com/cbb/players/precious-achiuwa-1.html
17,"Green, Josh",19,19.75,21,12,22,27,12,22,28,14,19,SG,"6'6""","6'10""","8'5.5""","8.75""",214,"39.5""",10.64,2.28,3.12,Arizona,30,30.9,12.0,4.6,2.6,1.5,0.4,1.6,2.4,9.6,0.424,6.8,0.449,2.8,0.361,3.6,0.780,0.536,14.0,5.4,3.0,1.7,0.5,1.9,2.8,11.2,7.9,3.3,4.2,https://www.sports-reference.com/cbb/players/josh-green-2.html
18,"Terry, Tyrell",20,20.13,40,13,20,23,25,8,15,17,20,PG,"6'3""","6'2""","8'0""","8.25""",170,"34.0""",10.78,2.59,3.28,Stanford,31,32.6,14.6,4.5,3.2,1.4,0.1,2.6,2.1,10.7,0.441,5.8,0.470,4.9,0.408,3.5,0.891,0.596,16.1,5.0,3.5,1.5,0.1,2.9,2.3,11.8,6.4,5.4,3.9,https://www.sports-reference.com/cbb/players/tyrell-terry-1.html
19,"Anthony, Cole",21,20.13,16,14,23,16,21,27,21,23,20,PG,"6'3""","6'4.5""",,,185,,,,,North Carolina,22,34.9,18.5,5.7,4.0,1.3,0.3,3.5,2.9,15.7,0.380,9.3,0.402,6.4,0.346,5.8,0.750,0.507,19.1,5.9,4.1,1.3,0.3,3.6,3.0,16.2,9.6,6.6,6.0,https://www.sports-reference.com/cbb/players/cole-anthony-1.html
20,"Smith, Jalen",22,21.63,19,18,32,21,15,17,30,21,20,PF,"6'10""","7'2""","9'2""","9.25""",225,,,,,Maryland,31,31.3,15.5,10.5,0.8,0.7,2.4,1.7,2.4,10.1,0.538,7.3,0.604,2.8,0.368,4.8,0.750,0.635,17.8,12.1,0.9,0.8,2.8,2.0,2.8,11.6,8.4,3.2,5.5,https://www.sports-reference.com/cbb/players/jalen-smith-1.html
21,"Maledon, Theo",23,25.50,24,20,35,20,23,28,19,35,19,PG,"6'5""","6'9""","8'4.5""","10.0""",187,,,,,France,20,15.6,6.5,2.0,1.9,0.6,0.1,1.5,2.3,5.0,0.390,2.5,0.490,2.6,0.294,2.1,0.902,0.549,15.0,4.6,4.4,1.4,0.2,3.5,5.3,11.5,5.8,6.0,4.8,https://www.basketball-reference.com/international/players/theo-maledon-1.html
22,"Bane, Desmond",24,26.25,34,36,19,22,32,19,29,19,22,SG,"6'6""","6'4""",,,215,,,,,Texas Christian,32,36.0,16.6,6.3,3.9,1.5,0.5,2.3,2.2,13.6,0.452,7.1,0.461,6.5,0.442,1.8,0.789,0.577,16.6,6.3,3.9,1.5,0.5,2.3,2.2,13.6,7.1,6.5,1.8,https://www.sports-reference.com/cbb/players/desmond-bane-1.html
23,"McDaniels, Jaden",25,28.13,23,21,30,35,41,24,23,28,20,PF,"6'10""","7'0""",,,200,,,,,Washington,31,31.1,13.0,5.8,2.1,0.8,1.4,3.2,3.3,10.8,0.405,6.7,0.445,4.1,0.339,3.7,0.763,0.523,15.0,6.7,2.4,0.9,1.6,3.7,3.8,12.5,7.8,4.7,4.3,https://www.sports-reference.com/cbb/players/jaden-mcdaniels-1.html
24,"Flynn, Malachi",26,28.50,31,34,26,29,37,29,24,18,22,PG,"6'2""","6'3""",,,185,,,,,San Diego State,32,33.4,17.6,4.5,5.1,1.8,0.1,1.8,1.8,13.0,0.441,6.7,0.507,6.4,0.373,4.4,0.857,0.589,19.0,4.9,5.5,1.9,0.1,1.9,1.9,14.0,7.2,6.9,4.7,https://www.sports-reference.com/cbb/players/malachi-flynn-1.html
25,"Bolmaro, Leandro",27,28.63,22,33,29,31,28,25,25,36,20,SG,"6'7""","6'8""",,,182,,,,,Argentina,9,26.8,14.9,2.7,3.6,1.8,0.0,2.8,2.0,12.3,0.450,6.0,0.630,6.3,0.281,3.1,0.643,0.545,20.0,3.6,4.8,2.4,0.0,3.8,2.7,16.5,8.1,8.5,4.2,https://basketball.realgm.com/player/Leandro-Bolmaro/Summary/120098
26,"Stewart, Isaiah",28,31.25,27,43,24,26,30,30,22,48,19,C,"6'9""","7'5""","9'0.5""","10.5""",243,,,,,Washington,32,32.2,17.0,8.8,0.8,0.5,2.1,2.2,2.6,10.5,0.570,9.9,0.590,0.6,0.250,6.2,0.774,0.643,19.0,9.8,0.9,0.6,2.3,2.5,2.9,11.7,11.1,0.7,6.9,https://www.sports-reference.com/cbb/players/isaiah-stewart-2.html
27,"Jones, Tre",29,32.25,30,44,18,24,24,45,36,37,20,PG,"6'3""","6'4""",,,185,,,,,Duke,29,35.4,16.2,4.2,6.4,1.8,0.3,2.7,1.8,13.2,0.423,9.5,0.447,3.7,0.361,4.8,0.771,0.529,16.5,4.3,6.5,1.8,0.3,2.7,1.8,13.4,9.7,3.8,4.9,https://www.sports-reference.com/cbb/players/tre-jones-1.html
28,"Nnaji, Zeke",30,33.75,36,27,34,37,43,31,35,27,19,PF,"6'11""","7'2""","8'9.5""","10.5""",247,"38.0""",10.94,2.72,3.20,Arizona,32,30.7,16.1,8.6,0.8,0.7,0.9,2.2,2.4,9.8,0.570,9.3,0.586,0.5,0.294,6.3,0.760,0.640,18.9,10.1,0.9,0.8,1.1,2.6,2.8,11.5,10.9,0.6,7.4,https://www.sports-reference.com/cbb/players/zeke-nnaji-1.html
29,"Bey, Tyler",31,34.50,28,26,55,45,14,36,31,41,22,PF,"6'7""","7'1""","8'9.5""","9.0""",213,"43.5""",11.35,2.75,3.17,Colorado,31,29.0,13.8,9.0,1.5,1.5,1.2,2.4,1.9,8.5,0.530,7.5,0.545,1.0,0.419,5.9,0.743,0.622,17.1,11.2,1.9,1.9,1.5,3.0,2.4,10.6,9.3,1.2,7.3,https://www.sports-reference.com/cbb/players/tyler-bey-1.html
30,"Woodard II, Robert",32,35.13,26,51,21,30,50,20,41,42,21,SF,"6'7""","7'2""","8'9.5""","10.75""",230,"38.0""",11.10,2.49,3.18,Mississippi State,31,33.1,11.4,6.5,1.3,1.1,1.0,1.9,1.9,8.9,0.495,6.6,0.517,2.3,0.429,2.5,0.641,0.570,12.4,7.1,1.4,1.2,1.1,2.1,2.1,9.7,7.2,2.5,2.7,https://www.sports-reference.com/cbb/players/robert-woodard-2.html
31,"Ramsey, Jahmi'us",33,35.13,35,37,53,40,20,37,33,26,19,PG,"6'4""","6'6""","8'4.5""","9.75""",193,,,,,Texas Tech,27,31.2,15.0,4.0,2.2,1.3,0.7,2.0,2.2,12.4,0.442,7.2,0.454,5.2,0.426,2.9,0.641,0.548,17.3,4.6,2.5,1.5,0.8,2.3,2.5,14.3,8.3,6.0,3.3,https://www.sports-reference.com/cbb/players/jahmius-ramsey-1.html
32,"Tillman, Xavier",34,35.13,32,69,27,25,36,32,26,34,21,C,"6'9""","7'2""","8'10""","11.0""",267,"32.5""",11.80,3.01,3.49,Michigan State,31,32.1,13.7,10.3,3.0,1.2,2.1,2.0,2.6,9.7,0.550,8.1,0.608,1.6,0.260,4.0,0.667,0.598,15.4,11.6,3.4,1.3,2.4,2.2,2.9,10.9,9.1,1.8,4.5,https://www.sports-reference.com/cbb/players/xavier-tillman-1.html
33,"Mannion, Nico",35,37.75,25,24,47,36,34,40,32,64,19,PG,"6'3""","6'2.5""",,,190,,,,,Arizona,32,32.3,14.0,2.5,5.3,1.2,0.0,2.6,1.7,11.5,0.392,6.4,0.444,5.1,0.327,4.2,0.797,0.524,15.6,2.8,5.9,1.3,0.0,2.9,1.9,12.8,7.1,5.7,4.7,https://www.sports-reference.com/cbb/players/nico-mannion-1.html
34,"Pritchard, Payton",36,38.00,38,38,37,41,46,33,40,31,22,PG,"6'2""","6'4.5""",,,206,,,,,Oregon,31,36.6,20.5,4.3,5.5,1.5,0.0,2.7,2.0,14.9,0.468,8.1,0.512,6.8,0.415,4.5,0.821,0.607,20.2,4.2,5.4,1.5,0.0,2.7,2.0,14.7,8.0,6.7,4.4,https://www.sports-reference.com/cbb/players/payton-pritchard-1.html
35,"Riller, Grant",37,38.88,39,60,28,33,51,42,38,20,23,PG,"6'1""","6'5""","8'0.5""","8.5""",178,"39.5""",11.17,2.45,3.07,Charleston,31,33.5,21.9,5.1,3.9,1.6,0.3,3.1,2.3,14.7,0.499,10.5,0.554,4.2,0.362,6.9,0.827,0.617,23.5,5.5,4.2,1.7,0.3,3.3,2.5,15.8,11.3,4.5,7.4,https://www.sports-reference.com/cbb/players/grant-riller-1.html
36,"Dotson, Devon",38,39.00,47,31,38,43,39,35,46,33,21,PG,"6'2""","6'3""","7'11""","10.0""",185,"40.5""",10.44,2.22,3.02,Kansas,30,34.9,18.1,4.1,4.0,2.1,0.1,2.4,1.8,13.0,0.468,8.9,0.541,4.1,0.309,5.7,0.830,0.584,18.7,4.2,4.1,2.2,0.1,2.5,1.9,13.4,9.2,4.2,5.9,https://www.sports-reference.com/cbb/players/devon-dotson-1.html
37,"Joe, Isaiah",39,39.13,48,29,49,39,54,26,39,29,21,SG,"6'5""","6'7.5""","8'5""","8.25""",170,,,,,Arkansas,26,36.1,16.9,4.1,1.7,1.4,0.3,1.5,1.9,13.8,0.367,3.3,0.447,10.6,0.342,3.5,0.890,0.551,16.9,4.1,1.7,1.4,0.3,1.5,1.9,13.8,3.3,10.6,3.5,https://www.sports-reference.com/cbb/players/isaiah-joe-1.html
38,"Carey Jr, Vernon",40,39.63,43,17,52,38,29,47,27,64,19,C,"6'10""","7'0""",,,270,,,,,Duke,31,24.8,17.8,8.8,1.0,0.7,1.6,2.0,2.7,11.1,0.577,10.5,0.590,0.7,0.381,7.0,0.670,0.628,25.8,12.8,1.5,1.0,2.3,2.9,3.9,16.1,15.2,1.0,10.2,https://www.sports-reference.com/cbb/players/vernon-careyjr-1.html
39,"Quickley, Immanuel",41,40.75,42,39,46,46,40,39,34,40,21,PG,"6'3""","6'8""","8'3""","8.75""",186,"35.5""",11.21,2.46,3.17,Kentucky,30,33.0,16.1,4.2,1.9,0.9,0.1,1.6,2.3,11.0,0.417,6.2,0.409,4.8,0.428,5.2,0.923,0.606,17.6,4.6,2.1,1.0,0.1,1.7,2.5,12.0,6.8,5.2,5.7,https://www.sports-reference.com/cbb/players/immanuel-quickley-1.html
40,"Hughes, Elijah",42,41.50,44,30,31,42,45,41,53,46,22,SG,"6'7""","6'7.5""","8'5.5""","8.75""",229,,,,,Syracuse,32,36.7,19.0,4.9,3.4,1.2,0.8,2.3,1.8,14.5,0.427,7.4,0.508,7.1,0.342,5.2,0.813,0.566,18.6,4.8,3.3,1.2,0.8,2.3,1.8,14.2,7.3,7.0,5.1,https://www.sports-reference.com/cbb/players/elijah-hughes-1.html
41,"Oturu, Daniel",43,41.63,37,28,39,34,38,48,45,64,21,C,"6'9""","7'2""",,,240,,,,,Minnesota,31,33.9,20.1,11.3,1.1,0.5,2.5,2.8,2.7,13.6,0.563,12.0,0.590,1.7,0.365,5.8,0.707,0.622,21.3,12.0,1.2,0.5,2.7,3.0,2.9,14.4,12.7,1.8,6.2,https://www.sports-reference.com/cbb/players/daniel-oturu-1.html
42,"Winston, Cassius",44,41.88,29,72,33,28,47,44,37,45,22,PG,"6'2""","6'6""","8'1""","8.25""",196,"28.0""",11.15,2.74,3.61,Michigan State,30,32.7,18.6,2.5,5.9,1.2,0.0,3.2,2.0,13.8,0.448,8.1,0.459,5.6,0.432,4.5,0.852,0.589,20.5,2.8,6.5,1.3,0.0,3.5,2.2,15.2,8.9,6.2,5.0,https://www.sports-reference.com/cbb/players/cassius-winston-1.html
43,"Reed, Paul",45,44.63,52,40,41,50,19,43,48,64,21,PF,"6'9""","7'2""","9'1.5""","8.75""",219,"37.5""",12.29,2.67,3.45,DePaul,29,31.7,15.1,10.7,1.6,1.9,2.6,2.3,3.0,12.2,0.516,10.4,0.551,1.8,0.308,2.8,0.738,0.562,17.1,12.2,1.8,2.2,3.0,2.6,3.4,13.9,11.8,2.0,3.2,https://www.sports-reference.com/cbb/players/paul-reed-5.html
44,"Stanley, Cassius",46,45.00,51,41,48,32,31,49,44,64,21,SG,"6'6""","6'7""","8'3.5""","9.0""",202,"44.0""",11.40,2.43,3.09,Duke,29,27.4,12.6,4.9,1.0,0.7,0.7,1.9,2.2,9.3,0.474,6.3,0.527,3.0,0.360,3.6,0.733,0.579,16.6,6.4,1.3,0.9,0.9,2.5,2.9,12.2,8.3,3.9,4.7,https://www.sports-reference.com/cbb/players/cassius-stanley-1.html
45,"Nwora, Jordan",47,45.00,45,42,42,48,44,64,43,32,22,SF,"6'7""","6'10""","8'8""","9.25""",223,"35.0""",11.29,2.66,3.43,Louisville,31,33.1,18.0,7.7,1.3,0.7,0.3,2.1,2.2,13.9,0.440,7.8,0.469,6.1,0.402,4.1,0.813,0.573,19.6,8.4,1.4,0.8,0.3,2.3,2.4,15.1,8.5,6.6,4.5,https://www.sports-reference.com/cbb/players/jordan-nwora-1.html
46,"Azubuike, Udoka",48,45.63,33,56,44,52,49,50,42,39,21,C,"7'0""","7'7""","9'1""","10.0""",260,"41.0""",11.82,3.61,3.23,Kansas,31,27.7,13.7,10.5,0.9,0.5,2.6,2.5,2.4,7.8,0.748,7.8,0.748,0.0,0.000,4.7,0.441,0.694,17.8,13.6,1.2,0.6,3.4,3.2,3.1,10.1,10.1,0.0,6.1,https://www.sports-reference.com/cbb/players/udoka-azubuike-1.html
47,"Tillie, Killian",49,49.25,53,76,40,49,35,46,51,44,22,C,"6'10""","6'8""","8'10""","9.25""",222,"32.0""",11.60,2.62,3.40,Gonzaga,24,24.6,13.6,5.0,1.9,1.0,0.8,1.0,2.5,9.6,0.535,5.8,0.621,3.8,0.400,2.6,0.726,0.633,19.9,7.3,2.8,1.5,1.2,1.5,3.7,14.0,8.5,5.6,3.8,https://www.sports-reference.com/cbb/players/immanuel-quickley-1.html
48,"Mays, Skylar",50,49.38,46,66,45,44,56,64,50,24,23,SG,"6'4""","6'6""","8'3""","9.75""",204,"37.5""",10.65,2.40,3.30,Louisiana State,31,34.4,16.7,5.0,3.2,1.8,0.2,2.3,1.7,11.1,0.491,7.0,0.548,4.1,0.345,4.9,0.845,0.630,17.5,5.2,3.3,1.9,0.2,2.4,1.8,11.6,7.3,4.3,5.1,https://www.sports-reference.com/cbb/players/skylar-mays-1.html
49,"Perry, Reggie",51,49.63,41,35,60,54,27,64,52,64,20,C,"6'9""","7'0""","8'10.5""","11.0""",250,"33.5""",11.26,2.57,3.25,Mississippi State,31,31.1,17.4,10.1,2.3,0.8,1.2,2.9,3.1,11.8,0.500,9.5,0.542,2.3,0.324,6.3,0.768,0.597,20.1,11.7,2.7,0.9,1.4,3.4,3.6,13.7,11.0,2.7,7.3,https://www.sports-reference.com/cbb/players/reggie-perry-2.html
50,"Madar, Yam",52,53.88,49,55,56,79,57,34,58,43,19,PG,"6'3""",,,,180,,,,,Israel,32,24.4,10.1,2.4,3.4,1.0,0.2,2.1,2.1,8.1,0.444,5.4,0.531,2.7,0.267,2.7,0.812,0.544,14.9,3.5,5.0,1.5,0.3,3.1,3.1,12.0,8.0,4.0,4.0,https://basketball.realgm.com/player/Yam-Madar/Summary/133147
51,"Alexander, Ty-Shon",53,54.50,61,52,50,55,85,38,57,38,22,PG,"6'4""","6'8""","8'4""","8.75""",201,"33.0""",11.33,2.47,3.26,Creighton,31,34.7,16.9,5.0,2.3,1.3,0.3,1.4,1.7,12.2,0.431,5.6,0.469,6.5,0.399,4.4,0.860,0.598,17.5,5.2,2.4,1.3,0.3,1.5,1.8,12.7,5.8,6.7,4.6,https://www.sports-reference.com/cbb/players/ty-shon-alexander-1.html
52,"Jones, Mason",54,55.38,70,50,43,56,52,64,61,47,22,SG,"6'6""","6'7""","8'6.5""","8.5""",207,"31.0""",10.60,2.49,3.33,Arkansas,31,33.9,22.0,5.5,3.4,1.6,0.2,3.2,3.3,13.6,0.453,7.4,0.539,6.3,0.351,9.1,0.826,0.625,23.4,5.8,3.6,1.7,0.2,3.4,3.5,14.4,7.9,6.7,9.7,https://www.sports-reference.com/cbb/players/mason-jones-1.html
53,"Howard, Markus",55,55.88,60,53,57,51,42,64,56,64,21,PG,"5'11""","6'0""","7'7.5""","7.75""",171,"35.5""",11.21,3.17,3.11,Marquette,29,33.2,27.8,3.5,3.3,0.9,0.0,3.4,2.4,19.3,0.422,9.2,0.434,10.1,0.412,8.6,0.847,0.602,30.1,3.8,3.6,1.0,0.0,3.7,2.6,20.9,10.0,11.0,9.3,https://www.sports-reference.com/cbb/players/markus-howard-1.html
54,"Merrill, Sam",56,58.00,57,94,36,47,53,64,49,64,24,SG,"6'5""","6'6""",,,205,,,,,Utah State,32,35.0,19.7,4.1,3.9,0.9,0.1,1.6,2.3,13.2,0.461,6.4,0.515,6.8,0.410,5.3,0.893,0.634,20.3,4.2,4.0,0.9,0.1,1.6,2.4,13.6,6.6,7.0,5.5,https://www.sports-reference.com/cbb/players/sam-merrill-1.html
55,"N'doye, Abdoulaye",57,58.38,50,47,64,63,48,64,67,64,22,PG,"6'7""","7'2.5""",,,220,,,,,France,25,30.5,10.1,4.2,4.0,1.3,0.4,2.0,3.0,6.9,0.523,5.5,0.543,1.4,0.441,3.1,0.753,0.611,11.9,5.0,4.7,1.5,0.5,2.4,3.5,8.1,6.5,1.7,3.7,https://www.basketball-reference.com/international/players/abdoulaye-ndoye-1.html
56,"Hinton, Nate",58,61.88,56,54,62,59,85,64,66,49,21,SG,6'5',"6'9""",,,210,,,,,Houston,31,30.3,10.6,8.7,2.0,1.4,0.2,1.2,2.2,8.4,0.410,4.6,0.430,3.8,0.387,2.9,0.756,0.548,12.6,10.3,2.4,1.7,0.2,1.4,2.6,10.0,5.5,4.5,3.4,https://www.sports-reference.com/cbb/players/nate-hinton-1.html
