Rank,name,Ovr. Rank,Avg. Rank,ESPN Rank,NBADraft Rank,Athletic Rank,CBS Rank,Tankathon Rank,Ringer Rank,SI Rank,BR Rank,Age (by 10/16),Position,Height w/ shoes,Wingspan,Reach,Hand width,Weight (lbs),Max Vertical,Lane (sec),Shuttle (sec),3/4 Sprint (sec),School,GP,MP,PTS,REB,AST,STL,BLK,TOV,PF,FGA,FG%,2PA,2P%,NCAA__3ptapg,NCAA__3ptpct,FTA,NCAA_ft,TS%,PTS/36,REB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info
80,"Whitney, Kahlil",82,78.75,72,81,89,89,69,64,102,64,19,PF,"6'7""","7'0""","8'9.5""","10.25""",205,"39.0""",11.17,2.61,3.28,Kentucky,18,12.8,3.3,1.7,0.4,0.3,0.2,0.8,1.3,3.4,0.371,2.6,0.413,0.9,0.250,1.3,0.435,0.415,9.3,4.8,1.1,0.8,0.6,2.3,3.7,9.6,7.3,2.5,3.7,https://www.sports-reference.com/cbb/players/kahlil-whitney-1.html
81,"Tinkle, Tres",83,79.50,88,85,87,83,63,64,102,64,24,SF,"6'8""","6'10.5""",,,225,,,,,Oregon State,31,34.5,18.5,6.8,3.2,1.7,0.5,2.3,2.4,13.8,0.440,9.0,0.491,4.8,0.345,5.8,0.810,0.566,19.3,7.1,3.3,1.8,0.5,2.4,2.5,14.4,9.4,5.0,6.1,https://www.sports-reference.com/cbb/players/tres-tinkle-1.html
82,"Gillespie, Freddie",84,81.38,75,93,81,87,85,64,102,64,23,PF,"6'9""","7'6""",,,245,,,,,Baylor,30,28.4,9.6,9.0,0.5,1.1,2.2,0.9,2.8,6.7,0.550,6.7,0.550,0.0,0.000,3.2,0.684,0.592,12.2,11.4,0.6,1.4,2.8,1.1,3.5,8.5,8.5,0.0,4.1,https://www.sports-reference.com/cbb/players/freddie-gillespie-1.html
83,"Wiley, Austin",85,82.00,114,62,116,90,70,64,76,64,21,C,"6'10""","7'4.5""",,,260,,,,,Auburn,31,21.4,10.6,9.3,0.5,0.5,1.6,1.7,2.7,6.1,0.574,6.0,0.578,0.0,0.000,5.5,0.671,0.622,17.8,15.6,0.8,0.8,2.7,2.9,4.5,10.3,10.1,0.0,9.3,https://www.sports-reference.com/cbb/players/austin-wiley-1.html
84,"Doolittle, Kristian",86,82.13,91,91,79,81,85,64,102,64,22,SF,"6'7""",,,,232,,,,,Oklahoma,29,32.5,15.8,8.9,2.0,1.3,0.4,2.1,1.7,13.1,0.441,10.4,0.458,2.8,0.375,4.0,0.793,0.532,17.5,9.9,2.2,1.4,0.4,2.3,1.9,14.5,11.5,3.1,4.4,https://www.sports-reference.com/cbb/players/kristian-doolittle-2.html
85,"Yurtseven, Omer",87,82.38,92,63,98,91,85,64,102,64,22,C,"7'0""","7'1""",,,248,,,,,Georgetown,26,27.3,15.5,9.8,1.2,0.5,1.5,2.3,2.8,11.9,0.534,11.3,0.549,0.5,0.214,3.6,0.753,0.575,20.4,12.9,1.6,0.7,2.0,3.0,3.7,15.7,14.9,0.7,4.7,https://www.sports-reference.com/cbb/players/omer-yurtseven-1.html
86,"Jones, Tyrique",88,82.88,90,71,94,93,85,64,102,64,23,C,"6'9""","6'9""",,,239,,,,,Xavier,32,28.2,14.0,11.0,1.5,1.0,1.8,1.8,2.4,9.7,0.557,9.7,0.557,0.0,0.000,5.4,0.592,0.580,17.9,14.0,1.9,1.3,2.3,2.3,3.1,12.4,12.4,0.0,6.9,https://www.sports-reference.com/cbb/players/tyrique-jones-1.html
87,"Lamb, Anthony",89,83.63,83,97,92,82,85,64,102,64,22,SF,"6'6""","6'11""",,,227,,,,,Vermont,33,31.0,16.7,7.1,2.5,1.0,1.2,2.4,2.2,13.6,0.411,8.0,0.492,5.6,0.293,4.8,0.810,0.531,19.4,8.2,2.9,1.2,1.4,2.8,2.6,15.8,9.3,6.5,5.6,https://www.sports-reference.com/cbb/players/anthony-lamb-2.html
88,"Hammonds, Rayshaun",90,83.63,94,79,96,85,85,64,102,64,21,PF,"6'9""","6'6.5""",,,235,,,,,Georgia,32,28.0,12.9,7.4,1.5,0.8,0.4,1.9,3.2,10.8,0.464,7.6,0.512,3.2,0.350,2.8,0.652,0.536,16.6,9.5,1.9,1.0,0.5,2.4,4.1,13.9,9.8,4.1,3.6,https://www.sports-reference.com/cbb/players/rayshaun-hammonds-1.html
89,"Darling, Nate",91,84.88,89,116,73,86,85,64,102,64,22,SG,"6'5""","6'5""",,,200,,,,,Delaware,32,38.3,21.0,3.9,2.8,0.8,0.2,2.8,1.7,15.3,0.446,6.9,0.502,8.4,0.399,4.7,0.854,0.605,19.7,3.7,2.6,0.8,0.2,2.6,1.6,14.4,6.5,7.9,4.4,https://www.sports-reference.com/cbb/players/nate-darling-1.html
