Name,Age,MP,dPG%,dSG%,dSF%,dPF%,dC%,VR,MD,DEFL,FREQ,LT_06_%,PM,raDRDB,raDTOV
Jaden HardyDAL | SG,21,989,22.3,28.7,26.4,14.9,7.6,76,23,1.6,33.7,71.2,9.4,-0.03,-0.44
Tre MannCHA | PG,22,987,44.1,25.7,11.3,11.6,7.3,20,49,3.2,37.5,63.7,2.3,-1.41,0.18
Cam ReddishLAL | SF,24,984,31.1,31.2,17.3,11.6,8.8,53,55,3.1,33.2,69.2,6.6,0.21,-0.33
Luke KornetBOS | C,28,983,12.1,11.1,16.4,22.6,37.8,49,23,1.2,35.8,52.2,-8.7,1.8,-0.88
Keon EllisSAC | SG,24,978,39.1,32,12.2,9,7.6,22,44,3.8,42.7,60.9,-0.9,-0.07,0.08
Xavier TillmanBOS | PF,25,974,8.8,12.9,11.9,22.8,43.7,23,37,3,44.6,54.4,-9.2,-0.4,1.64
Josh OkogiePHX | SF,25,960,27.6,30.7,15.9,15.8,10,75,41,3.5,36,61.5,-1.9,-0.88,1.27
Goga BitadzeORL | C,24,957,7.1,6,10.5,13.5,62.9,4,34,2.8,46.1,62.6,-1.5,-0.35,0.12
Max ChristieLAL | SG,20,944,26.1,38.5,18.3,10.4,6.7,31,28,1.1,33.9,59.3,-2.5,-0.72,-0.21
Kevin LoveMIA | PF,35,924,6.1,8.7,9.2,18.3,57.7,7,25,1.6,46,60.1,-4.1,1.63,-0.58
Day'Ron SharpeBKN | C,22,921,7.8,7.9,10.7,17.9,55.7,9,21,2.4,43.7,64.1,0.7,1.31,-0.21
Jonathan IsaacORL | PF,26,914,8.4,14,24.2,31.1,22.3,73,32,3.1,43.8,47.7,-14.9,0.33,0.43
Markelle FultzORL | PG,25,910,30.4,29.7,22,11,6.9,51,39,2.7,29.1,75.3,13.9,-0.26,0.43
Doug McDermottIND | SF,32,904,10.1,31.6,33,19.6,5.8,34,19,0.6,33.6,60.2,-1.9,-0.83,-0.84
Jaylin WilliamsOKC | C,21,897,7,8.3,9.1,22.3,53.4,11,26,2.1,36.4,66.1,2.5,0.55,-0.06
Nikola JovicMIA | PF,20,896,9.8,14.9,23.5,30,21.9,83,29,1.8,40.9,64,0.8,-1.1,0.42
Bryce McGowensCHA | SG,21,882,17.3,30,30.8,15,7,58,26,1.1,38.4,61,-2.2,-0.09,0.13
Cam WhitmoreHOU | SF,19,880,13.6,27.7,29.8,16.4,12.6,81,25,3,32.8,65.1,2.2,,
Jaxson HayesLAL | C,23,877,6.8,9.8,10.8,24.8,47.7,16,23,2.5,36,65.7,2.8,1.18,0.72
Malachi FlynnDET | PG,25,876,40.6,29,13.6,11,5.7,23,26,2.4,37.4,64.3,2.7,0.12,0.1
Blake WesleySAS | PG,20,876,39.9,31.1,13,8.8,7.3,21,29,2.2,33.9,65.8,4.9,-0.76,-0.25
Zach LaVineCHI | SG,28,872,14.2,33.3,29.8,16,6.8,44,48,1.7,32.1,62.8,0.8,0.15,-0.49
Christian WoodLAL | PF,28,872,7.9,10.2,20.6,31,30.4,50,25,0.7,33.1,55.5,-6.9,0.41,-0.36
Maxi KleberDAL | C,32,871,10.3,11.8,21.8,30.1,26.1,76,30,1.2,36.2,58.7,-4.7,0.89,-0.31
Justin HolidayDEN | SG,34,862,20,29.9,21.4,19.6,9.1,87,29,2.8,37.4,61.9,1.2,0.23,-0.09
Chimezie Metu| C,26,859,9.1,11.6,24.1,36.9,18.4,46,24,3.1,45.2,63.9,2.3,0.05,0.09
Trendon WatfordBKN | PF,23,856,15.6,18.8,26.3,28,11.3,89,20,1.8,31.9,63.6,-0.4,-0.41,0.03
Taylor HendricksUTA | PF,20,856,9,19.5,29.6,24.8,17.1,84,37,2,46.1,60.1,-3.3,,
Dwight PowellDAL | C,32,836,9.4,9.3,9.2,22.6,49.4,15,24,2.5,37.9,57.4,-5.7,0.46,0.45
Troy Brown Jr.DET | SF,24,827,13.8,25.5,29.9,22.3,8.5,75,24,2,41.9,68.6,6.3,0.55,-0.85
Marcus Morris Sr.CLE | PF,34,817,13,12.7,26.5,29.3,18.6,85,24,1.1,42,64.6,1.9,0.69,-1.14
Caleb HoustanORL | SG,21,815,11.3,27.9,36.1,19.8,4.8,34,21,1.4,32.2,60.5,-2.1,-0.48,0.39
Ben SheppardIND | SG,22,814,19.4,40.5,22.3,12.5,5.3,27,25,2.1,39.4,67,3.5,,
Jake LaRaviaMEM | SF,22,806,15.6,25,31.5,20.4,7.4,70,28,3,44.8,63.3,1.6,-2.03,-0.47
JT ThorCHA | PF,21,781,8.4,14.7,28.3,32.6,15.9,60,21,1.7,45,68.1,4.6,0.88,-0.36
Isaiah JacksonIND | C,22,771,7.6,8.1,8.8,23.8,51.7,12,21,3.4,46.3,53.7,-9.7,-0.46,0.1
Mitchell RobinsonNYK | C,25,768,5,4.9,7.6,16,66.5,1,39,2.4,41.2,70.3,5.3,0.83,-0.23
Jock LandaleHOU | C,28,763,6.4,7.3,13.4,19,53.9,11,19,1.6,43.6,53.1,-8.3,0.39,-0.03
Cody MartinCHA | SF,28,753,37,19.6,20.2,14.7,8.6,53,46,2.4,32.5,65.3,2.7,0.47,0.61
KJ MartinPHI | SF,23,746,9.5,19.8,29.7,26.1,14.9,81,21,1.9,37.6,65.9,3,-0.37,-0.19
Delon WrightMIA | PG,31,742,33.9,27.9,18.7,10.9,8.5,49,27,4,37.8,63.9,2.3,-0.69,1.29
Mo BambaPHI | C,25,740,7,7.4,9.7,14.6,61.4,5,20,1.1,48.3,62.7,-1.7,1.33,-1.4
Nick Smith Jr.CHA | SG,19,729,37,31.7,16.8,8.9,5.6,24,22,0.7,32.9,58.5,-3.1,,
Landry ShametWAS | SG,26,726,24,34.6,21.8,10.6,9,55,34,2.5,36.5,62.5,-1.2,0.42,0.42
